src,dst,transDate,transAmt
10,0,20230906,6282
10,0,20230918,33643
10,0,20230826,3078
10,0,20230827,2763
10,0,20230905,13180
10,1,20230912,1653
10,1,20230828,32
10,1,20230916,252
10,1,20230919,6051
10,1,20230826,241
10,1,20230910,2932
10,1,20230914,2623
10,1,20230921,1525
10,1,20230825,3226
10,2,20230901,3783
10,2,20230913,11341
10,2,20230902,12103
10,2,20230908,29720
10,2,20230901,15501
10,2,20230827,18600
10,2,20230830,19320
10,2,20230912,43646
10,2,20230829,5839
10,2,20230828,39289
10,2,20230906,20991
10,2,20230923,2386
