id,name,products
CSF0000001579,传化****限公司,"商品化工-橡胶-合成橡胶-顺丁橡胶"
CSF0000001662,浙江**摩托**限公司,"汽车-摩托车制造-二轮摩托车,汽车-摩托车制造-三轮摩托车"
CSF0000002238,三角***份限公司,"轮胎与橡胶-轮胎,轮胎与橡胶-轮胎-斜交轮胎"
CSF0000000001,北京***能源*保****股**公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,保险-财产与意外伤害保险-机动车辆险,建筑、农用机械与重型卡车,轮胎与橡胶-轮胎,商业服务-综合支持服务"
CSF0000000002,新晨*国***股*公司,"汽车,建筑、农用机械与重型卡车-工程机械-混凝土机械,汽车,轮胎与橡胶-轮胎"
CSF0000000003,百*油*服**公司,"化工商品贸易-化工产品贸易,轮胎与橡胶"
CSF0000000004,建发***资**有公司,轮胎与橡胶-轮胎-特种轮胎
CSF0000000005,无锡农**业**股**公司,"商品化工-橡胶-合成橡胶,石油与天然气,轮胎与橡胶,建筑、农用机械与重型卡车-工程机械"
CSF0000000006,天*泰***医**程**有公司,"建筑、农用机械与重型卡车-工程机械,汽车-摩托车制造-三轮摩托车,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000007,康**股有公司,"汽车-摩托车制造-二轮摩托车,汽车,建筑、农用机械与重型卡车-港口机械"
CSF0000000008,深圳*元****份*公司,建筑、农用机械与重型卡车
CSF0000000009,拉近*娱***公司,"化工商品贸易-化工产品贸易-橡塑制品贸易,建筑、农用机械与重型卡车-工程机械,消闲用品-自行车,轮胎与橡胶"
CSF0000000010,广东***通*份*公司,"商业服务-综合支持服务,轮胎与橡胶-轮胎,商品化工"
CSF0000000011,耀*集*有公司,"轮胎与橡胶-轮胎-特种轮胎,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000012,联**市**有公司,"建筑、农用机械与重型卡车-工程机械-筑养路机械,商品化工"
CSF0000000013,中***集成电路***公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-农业机械,建筑、农用机械与重型卡车-工程机械-起重装卸机械,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油,轮胎与橡胶-轮胎"
CSF0000000014,国际精****公司,建筑、农用机械与重型卡车
