src,dst,transDate,transAmt
CSF0000001662,CSF0000001579,20230821,102191
CSF0000000010,CSF0000001579,20230720,231143
CSF0000002238,CSF0000001579,20230504,666666
CSF0000000070,CSF0000002238,20230601,156347
CSF0000000024,CSF0000002238,20230820,544734
CSF0000000065,CSF0000002238,20230613,64503
CSF0000000094,CSF0000002238,20230724,149303
CSF0000000077,CSF0000002238,20230606,85113
CSF0000001662,CSF0000002238,20230528,2000000
CSF0000001579,CSF0000000067,20230725,77512
CSF0000001579,CSF0000000037,20230922,866566
CSF0000001579,CSF0000002238,20230823,1281042
CSF0000001579,CSF0000000079,20230709,470262
CSF0000001579,CSF0000000075,20230517,289694
CSF0000001579,CSF0000000031,20230503,370413
CSF0000001579,CSF0000000007,20230523,1142495
CSF0000001579,CSF0000000080,20231004,201085
CSF0000001579,CSF0000000041,20230722,221947
CSF0000001579,CSF0000000021,20230821,78984
